supplier_id,price_competitiveness,cost_variability,total_spend,order_frequency,quality_rejection_rate,average_late_days
SUP-001,0.9728176293726968,0.0908261236965093,2180952.04,107,0.0093457943925233,0.1214953271028037
SUP-002,0.970539131812399,0.089810962551436,83912380.83,4172,0.0146212847555129,0.2579098753595398
SUP-003,1.090914564149763,0.0884984317336582,10388962.85,456,0.0175438596491228,0.3706140350877193
SUP-004,1.0515341104677185,0.0847602755771347,1426125.23,67,0.0,0.208955223880597
SUP-005,1.0996930977035286,0.0823237791836894,2972062.85,127,0.0078740157480314,0.3307086614173228
SUP-006,1.1170165774657392,0.0883608330711753,13568470.46,581,0.027538726333907,0.2874354561101549
SUP-007,0.9653550252574248,0.0978196599403865,802591.36,38,0.0,0.2105263157894736
SUP-008,1.0005997719741038,0.1641114250411278,12990183.01,637,0.1130298273155416,10.693877551020408
SUP-009,0.9799749793010344,0.0891969109773256,4548352.31,226,0.0088495575221238,0.2168141592920354
SUP-010,1.0447022120070348,0.0878163829323394,2794370.23,128,0.0,0.15625
SUP-011,1.052415777217994,0.0754811283187233,16616.72,5,0.0,0.2
SUP-012,1.0356004311154985,0.0509899924647669,91482.57,21,0.0476190476190476,0.1904761904761904
SUP-013,1.087846105175458,0.0415599230213406,33797.3,6,0.0,0.3333333333333333
SUP-014,0.968706581442744,0.0578397780389966,123286.53,30,0.0,0.5333333333333333
SUP-015,1.0047588968063563,0.0906828791866059,39222.45,8,0.0,0.5
SUP-016,1.0005075567602764,0.060720922165376,24672186.74,5384,0.0146731054977711,0.2641158989598811
SUP-017,0.8650236417430043,0.0608186967500929,159054.13,37,0.027027027027027,0.3783783783783784
SUP-018,1.0555659242940427,0.1301585565565124,628062.57,125,0.16,10.44
SUP-019,0.9818131884371666,0.063063660459076,252265.79,47,0.0,0.425531914893617
SUP-020,0.8607718051837786,0.0402582806609179,46084.99,12,0.0,0.6666666666666666
SUP-021,0.9098446585281242,0.0796101431891809,127900.75,31,0.0,0.0
SUP-022,0.9546280444926428,0.1342726255408814,8084096.02,469,0.0085287846481876,0.2750533049040511
SUP-023,0.9038328357762624,0.1236554195937542,1346224.7,85,0.0352941176470588,0.2941176470588235
SUP-024,1.0352240406094986,0.1402160414917984,5970367.25,330,0.009090909090909,0.306060606060606
